ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,439.45,128,13.81,52184460
4096,2048,450.96,128,13.71,80373132
6144,2048,443.65,128,13.64,108561804
8192,2048,438.71,128,13.50,136750476
10240,2048,431.68,128,13.40,164939148
12288,2048,427.12,128,13.34,193127820
14336,2048,422.72,128,13.28,221316492
16384,2048,420.91,128,13.34,249505164
18432,2048,416.65,128,13.28,277693836
20480,2048,412.00,128,13.21,305882508
22528,2048,407.86,128,13.15,334071180
24576,2048,403.53,128,13.07,362259852
26624,2048,400.01,128,13.02,390448524
28672,2048,396.39,128,12.90,418637196
30720,2048,392.76,128,12.79,446825868
32768,2048,388.82,128,12.44,475014540
34816,2048,373.67,128,12.35,503203212
36864,2048,371.18,128,12.30,531391884
38912,2048,367.51,128,12.25,559580556
40960,2048,364.19,128,12.23,587769228
43008,2048,360.55,128,12.17,615957900
45056,2048,357.53,128,12.15,644146572
47104,2048,355.19,128,12.10,672335244
49152,2048,351.13,128,12.08,700523916
51200,2048,345.33,128,11.99,728712588
53248,2048,343.35,128,11.95,756901260
55296,2048,340.17,128,11.88,785089932
57344,2048,337.72,128,11.83,813278604
59392,2048,335.40,128,11.78,841467276
61440,2048,332.49,128,11.68,869655948
63488,2048,330.11,128,11.64,897844620
65536,2048,327.79,128,11.57,926033292
