ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,413.70,128,13.85,52184460
4096,2048,423.32,128,13.73,80373132
6144,2048,416.38,128,13.63,108561804
8192,2048,411.21,128,13.49,136750476
10240,2048,405.30,128,13.42,164939148
12288,2048,401.14,128,13.37,193127820
14336,2048,396.47,128,13.30,221316492
16384,2048,394.21,128,13.36,249505164
18432,2048,390.79,128,13.29,277693836
20480,2048,386.64,128,13.23,305882508
22528,2048,384.02,128,13.16,334071180
24576,2048,379.90,128,13.07,362259852
26624,2048,376.30,128,13.01,390448524
28672,2048,372.90,128,12.89,418637196
30720,2048,370.23,128,12.79,446825868
32768,2048,366.94,128,12.44,475014540
34816,2048,353.52,128,12.34,503203212
36864,2048,350.36,128,12.29,531391884
38912,2048,347.37,128,12.23,559580556
40960,2048,344.45,128,12.20,587769228
43008,2048,341.36,128,12.15,615957900
45056,2048,338.49,128,12.12,644146572
47104,2048,335.68,128,12.07,672335244
49152,2048,332.79,128,12.05,700523916
51200,2048,327.29,128,11.97,728712588
53248,2048,325.02,128,11.93,756901260
55296,2048,322.50,128,11.87,785089932
57344,2048,320.42,128,11.80,813278604
59392,2048,318.03,128,11.76,841467276
61440,2048,315.42,128,11.66,869655948
63488,2048,312.74,128,11.62,897844620
65536,2048,310.70,128,11.54,926033292
